task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
39	89/9bba12	3211549	CRCHUMCITADEL_AMPLISEQ_CBIOPORTAL:AMPLISEQ_CBIOPORTAL:PER_SAMPLE_FORMAT:PASSTHROUGH_MUTATIONS (25bm002398_5925)	COMPLETED	0	2026-03-23 18:42:13.932	76ms	5ms	160.0%	0	0	159.2 KB	208 B
40	21/46d9ac	3211630	CRCHUMCITADEL_AMPLISEQ_CBIOPORTAL:AMPLISEQ_CBIOPORTAL:PER_SAMPLE_FORMAT:PASSTHROUGH_MUTATIONS (25hi019387_5921)	COMPLETED	0	2026-03-23 18:42:14.012	71ms	5ms	160.0%	0	0	159.2 KB	208 B
41	31/02f148	3211711	CRCHUMCITADEL_AMPLISEQ_CBIOPORTAL:AMPLISEQ_CBIOPORTAL:MERGE_DEANON:MERGE_SV	COMPLETED	0	2026-03-23 18:42:14.088	78ms	13ms	100.0%	0	0	227.8 KB	330 B
42	8d/e16753	3211822	CRCHUMCITADEL_AMPLISEQ_CBIOPORTAL:AMPLISEQ_CBIOPORTAL:MERGE_DEANON:MERGE_CNA	COMPLETED	0	2026-03-23 18:42:14.171	102ms	13ms	100.0%	0	0	240.4 KB	12.5 KB
43	7d/a05846	3211931	CRCHUMCITADEL_AMPLISEQ_CBIOPORTAL:AMPLISEQ_CBIOPORTAL:PER_SAMPLE_FORMAT:PASSTHROUGH_MUTATIONS (25bm002384_5927)	COMPLETED	0	2026-03-23 18:42:14.282	69ms	7ms	133.3%	0	0	159.2 KB	208 B
44	4e/2d930a	3212012	CRCHUMCITADEL_AMPLISEQ_CBIOPORTAL:AMPLISEQ_CBIOPORTAL:PER_SAMPLE_FORMAT:PASSTHROUGH_MUTATIONS (25bm002387_5928)	COMPLETED	0	2026-03-23 18:42:14.357	61ms	5ms	133.3%	0	0	159.2 KB	208 B
45	56/258e03	3212093	CRCHUMCITADEL_AMPLISEQ_CBIOPORTAL:AMPLISEQ_CBIOPORTAL:PER_SAMPLE_FORMAT:PASSTHROUGH_MUTATIONS (25bm002393_5930)	COMPLETED	0	2026-03-23 18:42:14.422	80ms	8ms	80.0%	0	0	159.2 KB	207 B
46	3f/bc7aa0	3212175	CRCHUMCITADEL_AMPLISEQ_CBIOPORTAL:AMPLISEQ_CBIOPORTAL:MERGE_DEANON:DEANON_SV	COMPLETED	0	2026-03-23 18:42:14.507	1.2s	829ms	60.5%	12.6 MB	17.9 MB	12.1 MB	438 B
47	19/adadc2	3212498	CRCHUMCITADEL_AMPLISEQ_CBIOPORTAL:AMPLISEQ_CBIOPORTAL:MERGE_DEANON:DEANON_CNA	COMPLETED	0	2026-03-23 18:42:15.698	1.2s	837ms	62.6%	18.1 MB	212.9 MB	12.1 MB	10.2 KB
33	38/09d1bf	3209073	CRCHUMCITADEL_AMPLISEQ_CBIOPORTAL:AMPLISEQ_CBIOPORTAL:PER_SAMPLE_FORMAT:VCF_TO_MAF (25bm002389_5929)	COMPLETED	0	2026-03-23 18:42:03.609	14.2s	14s	94.3%	333.8 MB	357 MB	3.1 GB	1.2 MB
48	71/7ecfe5	3212902	CRCHUMCITADEL_AMPLISEQ_CBIOPORTAL:AMPLISEQ_CBIOPORTAL:PER_SAMPLE_FORMAT:PASSTHROUGH_MUTATIONS (25bm002389_5929)	COMPLETED	0	2026-03-23 18:42:17.855	63ms	6ms	133.3%	0	0	159.2 KB	208 B
49	64/5fd33e	3212984	CRCHUMCITADEL_AMPLISEQ_CBIOPORTAL:AMPLISEQ_CBIOPORTAL:MERGE_DEANON:MERGE_MUTATIONS	COMPLETED	0	2026-03-23 18:42:17.927	80ms	23ms	72.7%	3.3 MB	217.8 MB	859.5 KB	613.2 KB
50	00/584838	3213095	CRCHUMCITADEL_AMPLISEQ_CBIOPORTAL:AMPLISEQ_CBIOPORTAL:MERGE_DEANON:DEANON_MUTATIONS	COMPLETED	0	2026-03-23 18:42:18.020	1s	865ms	68.4%	11 MB	17.6 MB	12.7 MB	608.3 KB
